RUN	computerdatabase.BasicSimulation	basicsimulation	1588251942011	0	3.3.1
USER	Scenario Name	1	START	1588251943449	1588251943449
REQUEST	1		request_1	1588251943541	1588251943717	OK	 
REQUEST	1		request_1 Redirect 1	1588251943744	1588251943812	OK	 
REQUEST	1		request_2	1588251950831	1588251950958	OK	 
REQUEST	1		request_3	1588251952961	1588251953028	OK	 
REQUEST	1		request_4	1588251956021	1588251956075	OK	 
REQUEST	1		request_4 Redirect 1	1588251956076	1588251956279	OK	 
REQUEST	1		request_5	1588251958281	1588251958333	OK	 
REQUEST	1		request_6	1588251959018	1588251959079	OK	 
REQUEST	1		request_7	1588251959691	1588251959757	OK	 
REQUEST	1		request_8	1588251960502	1588251960561	OK	 
REQUEST	1		request_9	1588251965561	1588251965690	OK	 
REQUEST	1		request_10	1588251966693	1588251966749	OK	 
REQUEST	1		request_10 Redirect 1	1588251966768	1588251966831	OK	 
USER	Scenario Name	1	END	1588251943449	1588251966841
